maintenance_id,asset_id,component_id,maintenance_type,maintenance_date,technician_action,status,notes
MNT-0037,AS-1008,AVN-1008,INSPECTION,2025-10-18,Routine inspection of avionics. Serviceable. No corrective action required.,COMPLETED,Completed at 1180 operational hours.
MNT-0038,AS-1008,AVN-1008,INSPECTION,2026-09-27,Scheduled inspection in approximately 190 h. No immediate action required.,SCHEDULED,Record created at 1340 operational hours.
MNT-0039,AS-1009,ENG-1009,INSPECTION,2026-06-15,Routine inspection of engine. Serviceable. No corrective action required.,COMPLETED,Completed at 320 operational hours.
MNT-0040,AS-1009,ENG-1009,INSPECTION,2026-09-27,Scheduled inspection in approximately 250 h. No immediate action required.,SCHEDULED,Record created at 570 operational hours.
MNT-0041,AS-1009,SEN-1009,INSPECTION,2026-04-16,Routine inspection of sensors. Serviceable. No corrective action required.,COMPLETED,Completed at 540 operational hours.
MNT-0042,AS-1009,SEN-1009,INSPECTION,2026-09-27,Scheduled inspection in approximately 320 h. No immediate action required.,SCHEDULED,Record created at 570 operational hours.
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-SHARED-001,AS-9001,BRG-SHARED,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2001-001,AS-2001,BRG-2001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2002-001,AS-2002,BRG-2002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-2001-001,AS-2001,BRG-2001,inspection,2026-09-14,Routine inspection,COMPLETED,
MNT-HYD-2020-001,AS-2020,HYD-2020,inspection,2026-09-14,Routine inspection,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-SHARED-001,AS-9001,BRG-SHARED,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2001-001,AS-2001,BRG-2001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2002-001,AS-2002,BRG-2002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-SHARED-001,AS-9001,BRG-SHARED,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2001-001,AS-2001,BRG-2001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2002-001,AS-2002,BRG-2002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-SHARED-001,AS-9001,BRG-SHARED,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2001-001,AS-2001,BRG-2001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2002-001,AS-2002,BRG-2002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-SHARED-001,AS-9001,BRG-SHARED,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9002-001,AS-9002,BRG-9002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-9001-001,AS-9001,BRG-9001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2001-001,AS-2001,BRG-2001,inspection,2024-06-01,Routine inspection — passed,COMPLETED,
MNT-BRG-2002-001,AS-2002,BRG-2002,inspection,2024-02-01,Inspection passed — overdue for next,OVERDUE,
MNT-BRG-001-001,AS-001,BRG-001,inspection,2026-09-14,Routine inspection,COMPLETED,
